Domain Information
Domain:,google.com
Registrar:,MarkMonitor Inc.
Registered On:,1997-09-15
Expires On:,2020-09-13
Updated On:,2018-02-21
Status:,clientDeleteProhibitedclientTransferProhibitedclientUpdateProhibitedserverDeleteProhibitedserverTransferProhibitedserverUpdateProhibited
Name Servers:,ns1.google.comns2.google.comns3.google.comns4.google.com
Registrant Contact
Organization:,Google LLC
State:,CA
Country:,US
Administrative Contact
Organization:,Google LLC
State:,CA
Country:,US
Technical Contact
Organization:,Google LLC
State:,CA
Country:,US
Domain Information
Domain:,flipkart.com
Registrar:,GoDaddy.com LLC
Registered On:,2007-06-03
Expires On:,2025-06-03
Updated On:,2019-05-13
Status:,clientDeleteProhibitedclientRenewProhibitedclientTransferProhibitedclientUpdateProhibited
Name Servers:,sdns14.ultradns.bizsdns14.ultradns.comsdns14.ultradns.netsdns14.ultradns.org
Registrant Contact
Organization:,Flipkart Internet Private Limited
State:,Karnataka
Country:,IN
Email:,Select Contact Domain Holder link at https://www.godaddy.com/whois/results.aspx?domain=FLIPKART.COM
Administrative Contact
Email:,Select Contact Domain Holder link at https://www.godaddy.com/whois/results.aspx?domain=FLIPKART.COM
Technical Contact
Email:,Select Contact Domain Holder link at https://www.godaddy.com/whois/results.aspx?domain=FLIPKART.COM
